Sentiment,clean_text
Negative,leave mint stupid
Negative,whatever min ppl
Neutral,saya sangat kecewa dengan kinerja ini tidak dapat digunakan karena terus menerus mengalami masalah sehingga saya tidak menikmati tayangan favorit saya sudah tiga minggu sejak terakhir kali saya dapat menikmati layanan ini dengan baik ini sangat memprihatinkan saya telah mencoba berbagai solusi untuk mengatasi masalah ini termasuk perangkat menghapus logout kembali serta mengunduh ulang namun masalah ini tetap berlanjut
Positive,
Positive,
Negative,disappointing
Neutral,baddest
Negative,harmful indoctrinate idea
Neutral,ph coi ph tr ti phim gi trong phim tr mu coi tr mu chuy qua ti coi ti ph ti kh coi mong mu
Negative,
Negative,followers repeating
Neutral,
Negative,stuck stopping routine
Positive,
Negative,disappointing bathe truly recommend
Neutral,calidad servicio quizas contenido faltan peliculas como transformer harry potter entr vale permisos demas esta muy
Negative,wrong
Positive,support vision
Negative,forced panel foot large small somebody fired
Positive,
Negative,incessant lgbtqia
Negative,aware push indoctrinate supplier entertainment adult spell worldview decided kid's
Negative,pathetic
Negative,sad commando
Negative,text
Neutral,parasite dans vid tyre coin haut droit lance cran lorsque l' pisode
Neutral,
Positive,
Neutral,hayop
Positive,
Positive,
Neutral,tum dekho badnaam target unhe hindustani
Positive,
Neutral,spreading broadcast
Neutral,htwe myo zaw
Neutral,akun ditangguhkan padahal pembayaran sudah berhasil paket bulan lagi minggu sudah disuruh bayar belum tolong solusinya
Positive,
Neutral,bogus fony
Positive,
Neutral,ribet mau nonton terus nanti gitu lagi udah aja ribet
Negative,cracking stopping exec hope sustain
Positive,increase rate unfortunately heading opposite direction utter serious shakedown ensure decent leadership
Negative,length interruption
Negative,instruction join access decided detail successful leave
Negative,
Negative,lovesome wiping wipe thus fact
Negative,recommendation given hulu
Neutral,good
Negative,subscriber
Positive,
Positive,site tubi pluto
Positive,blockbuster
Neutral,
Positive,disconcerting
Neutral,lumayan kang gacor
Negative,head pass paramount
Neutral,salo dusre har din chlna bnd jata
Neutral,thata yona
Neutral,mabuksan sakin kaya lang
Positive,
Neutral,catastrophique nouvelle
Positive,kindly
Neutral,case scum
Negative,responding
Neutral,asa exorcist gemini
Neutral,gaaflhewle tefo
Neutral,manually channel
Positive,create
Neutral,
Neutral,
Positive,propaganda accept gender dysphoria gender god created employee celebrated death amongst
Neutral,tangguhkan sudah suruh bayar
Negative,push satanist misapply satanic
Negative,
Positive,
Positive,
Positive,
Positive,french french hope advice
Negative,ngl quality matilda
Positive,shht located location hacker leave capitalize letter sentence huckster pretender acting spied mesh networking location known
Positive,
Neutral,
Negative,disgusting
Negative,providing saved complaint failed
Negative,tire sick
Negative,pissed center producing
Positive,wonderful
Positive,
Neutral,ekdam machikini
Negative,
Neutral,unveil imdb
Negative,silly decorous axed received
Negative,performance
Neutral,
Neutral,
Positive,turned
Positive,setup
Neutral,substantiation deactivated abortive
Positive,spectrum relevant
Negative,nonsense
Neutral,rana bila
Positive,trending classic super offline downside overall binge
Negative,mother fam somehow irritated
Neutral,filmen uplabdh achchhi
Neutral,baaaack shrek
Negative,minus recommend
Negative,frame look
Positive,
Positive,
Neutral,pirate arab
Negative,girlfriend quit
Neutral,prowper throwing eeepe
Positive,
Negative,prefer indoctrinated divulge disgusted adult
Negative,ontogenesis frustrated developed
Neutral,superbbb
Positive,instance screw
Negative,fraud
Positive,
Negative,
Neutral,ruim demais
Positive,
Positive,netty
Negative,
Negative,site janky disgraceful stupid organization infuriating
Negative,fact window darkest bright float override
Negative,sand useless disgusting dull
Neutral,
Neutral,citizenship
Neutral,unsolicited bloat
Neutral,
Positive,wished anime's
Neutral,
Neutral,aps nise
Neutral,medicare jk fb
Positive,super
Negative,limiting dam
Neutral,za mouksiegmail
Negative,openig
Positive,super layout clean recommends ton original crown offline flip disappear
Negative,
Neutral,celular funcionar dej la ltimas versiones
Neutral,sangat kerana dapat menonton apa sahaja rancangan atau ini sensasi filem kerana setiap pasti carian
Positive,
Positive,
Neutral,
Negative,indian internationally
Negative,
Neutral,ahe garib
Positive,bored
Neutral,akoti simon
Negative,scammed
Neutral,saya suka tetap tetapi sesetengah cerita dalam ini seperti china ini sukaaa
Positive,
Negative,complain gigantic preview block list excruciatingly unaffected dreadfully anticipate screwing
Positive,erases progress save
Negative,useless increase solve mony
Neutral,payp
Neutral,darun
Neutral,itna bakbass dekha salo kuch acha kro
Negative,setelah malah dicoba jaringan lain ato tetep stuck ditulisan
Negative,
Neutral,
Positive,honest mixed million gem wherever euro pin unlock pin
Positive,entertainment perfectly super offline
Neutral,jurrasic world park
Neutral,joburg mogul
Neutral,
Negative,look spoiled stupid wild
Positive,plz kpdh plz beg
Negative,verify
Negative,blamed uk hungary aug supplier causing provider uk
Negative,jest worse spot intrusive
Neutral,usman dr
Positive,recommend
Positive,
Negative,credited aritede
Positive,useful
Positive,loving homeless
Neutral,
Positive,eveything weight
Neutral,aim predator
Neutral,underlying malfunction systematic diagnostic remedial procedure
Positive,wow
Positive,jason san andreas test thank
Positive,kill tony enjoyed breaking
Negative,charged offered straight deal
Neutral,light huawei
Positive,
Neutral,
Positive,jurassic park christian lifestyle disappointing little protect
Neutral,peux pisodes le lira c'est nul
Neutral,untertitel tote
Neutral,
Positive,
Positive,
Negative,grant protest location decided location explained
Positive,
Neutral,dot
Neutral,
Negative,satisfied
Negative,leave alone abbvie mcentee product shorten fact irish politician minister director helen label global indoctrinate lose
Positive,decided kill scream twilight franchise vanished rrraaaaarrrgggghhhh
Neutral,becouse apk faild
Neutral,obsession exhausting summary streamer
Neutral,
Positive,satisfied binge
Negative,
Neutral,deomn loge
Negative,function stupid
Neutral,napaka naman nyu dala kayo
Positive,
Negative,
Neutral,packet axiata axiata packet
Neutral,learning oliver twist
Negative,sandman
Positive,
Negative,stuck
Negative,propaganda queer
Negative,account physically disgusting pirating
Positive,impressive detective baads aryan khan thank
Negative,stupid
Positive,
Neutral,buncha epos
Neutral,caught
Neutral,chuti
Positive,ton mood fresh enjoy relaxing binge
Negative,
Neutral,
Negative,useless demanding decent mentioned
Negative,mne lia chali kch
Neutral,ut gas contant modify way
Neutral,plssss meanwhile
Negative,absurd higher extremely unsecured public higher endangerment platform's arrogance
Neutral,
Negative,offer globe offer
Positive,
Negative,concern spoke chat layout rolling minority wrong layout tweak rolling
Neutral,watchable nunber
Neutral,pacha naved
Neutral,tidak dapat dari gangguan terhubung kemarin
Neutral,celluloid absolut
Negative,serie
Neutral,watchlist rearing inflation restriction pr locking nightmare
Positive,
Negative,telephone accept blocked
Neutral,fiu kalepo
Negative,
Negative,useless
Neutral,
Neutral,flip
Positive,reluctant render fm linked c co tiring
Negative,appppp boycott disgusting
Neutral,thicker border undifferentiated appearance unreadable
Positive,
Neutral,
Negative,
Negative,fast item verw unsubed probably
Neutral,guod guod guod
Negative,celular nitido como plata ahora pixela imagen distorciona puede peliculas nitidas ahora toca ver como ira ver tanta gusta recibe hacieron ar
Negative,unbelievable restrictive town frequently mean spend extended length associated situation joke strayed wrong direction disappointing altogether
Positive,bother difference minimize extreme
Positive,produced liked rick morty haunted hotel thank producing releasing
Negative,dolt owns dad's
Positive,theater heart shank soo infinity guess wish notice thank hope
Negative,depsite payment unacceptable
Neutral,art blade
Neutral,router prob
Negative,
Positive,dnt silly guide
Neutral,
Neutral,
Positive,
Neutral,menos podr respetar li subt tulos apellido nombre pila
Positive,
Positive,brilliant
Positive,fav
Negative,pirated vhs tape pirated betamax tape music blast neighbour banging wall turned
Positive,comfortable
Negative,mandatory
Neutral,continued dion breeding
Negative,dissatisfactory bugsnag
Neutral,kenapa tiap mau nonton teruss lama
Positive,adflix
Positive,
Neutral,naved pasha
Neutral,
Neutral,qorth rediculous
Negative,
Neutral,pili nakakabadtrip lang
Neutral,baz dizilerinde rk dublaj olmad olsayd sinirleniyorum umar okursunuz baz dizilerinin dublajl yapars
Positive,
Positive,deliberately create sexualized freedom speech respected speech reaching wallet push
Neutral,catastrophique nouvelle
Positive,
Neutral,realty distopia zion
Positive,
Positive,huntersssss
Positive,radiculous restriction beg allow
Positive,
Neutral,mengapa subtitlenya jadi abu abu pengaturan sudah warna diset putih padahal nonton semuanya sering jadi abu sudah diset sebagainana rupa juga tetap diperbaiki
Neutral,unity unity unity woooooo
Positive,excited
Positive,older category
Negative,cc detail accepted detail given cc freshly merchant
Neutral,woooooo ace unity unity
Neutral,twitch
Neutral,gle luminosit cran nuit une vid regarder
Positive,everybody love
Neutral,
Positive,beautiful beautiful beautiful beautiful song thank
Positive,
Negative,shown faulty detection logic worse disable interested age ai
Positive,fragrant flower bloom
Negative,wenn wir urlaub fahren meinem funktioniert entscheidest du wo kroatische serie oder meinen sehen kann und zweitens deckt die meine bersetzung die lfte der filme und serien hast du von tsch
Negative,today's lol app's broken
Negative,human wealthy
Positive,shrink guess category
Positive,
Positive,wonderful
Positive,
Neutral,disregard tapping tapping dismissed
Negative,titan fire
Positive,
Neutral,output conduct speaker dialouge
Positive,
Negative,
Positive,
Neutral,ego
Positive,netmirror
Negative,nonsense wretched
Neutral,lagta acha
Negative,cromecast tonight shame sick tired stuffing shafted struggling family tomorrow
Positive,
Neutral,flash
Negative,equal audio grandness wrong
Neutral,
Negative,downfall point
Neutral,door roblox
Positive,thank saved
Negative,series's accessaible accessible disappointing accessible dispute restrict
Neutral,lotaf safaring
Negative,sending demand warning crashing harassment
Negative,broken shown
Negative,useless guess
Positive,
Positive,boring wasted searching website exact clearly appeal
Neutral,baz dizilerinde rk dublaj olsayd sinirleniyorum okursunuz bunu umar baz dizilerinin dublajl yapars
Positive,san andreas definitive edition
Positive,
Neutral,tapping fire dismissed tapping
Neutral,
Negative,place restricting direct member small income allow location mile waist
Negative,broken pop
Positive,
Positive,grey's anatomy svu appreciated thank
Neutral,abrham sisay
Negative,indication case upgraded might subscriber disgusted
Neutral,
Neutral,
Neutral,rolling
Neutral,hdmi
Negative,risk artist
Negative,ideologic youth brainwashing
Negative,wth friend account filipino wth ring holder membershp
Negative,
Negative,app's idiotic yearly allow interrupted
Neutral,bhaijaan bajrangi jai tubelight race dabangg sikandar salman khan
Neutral,iske chalu palu
Neutral,kiim
Negative,viewed 'as antecedently previously if'never viewed genre
Negative,
Positive,policy viewer quarterly yearly yearly prepaid pack
Negative,playstore youre gaming market gaming studio shovel
Positive,
Negative,fail ji wahi mil
Positive,
Positive,bugging affect realized dozen
Positive,
Neutral,celular la desaparecen mientras
Neutral,
Positive,
Neutral,chart graph
Negative,useless horror arabic indonesian useless
Negative,break dolt
Positive,occurs party
Neutral,promueve fe burlas
Neutral,
Neutral,
Positive,create
Positive,
Neutral,paywall
Positive,spectrum provides upon enjoy nonsense
Neutral,super presage trek
Neutral,hotspot farmhouse
Neutral,diesis mu selben sein hat mich vollkommen sich gemacht lohnt unnutzbar mehr
Positive,
Positive,offer offer tier catalog raising enjoys broke
Negative,investigate calling gain nonsense resolved pathetic hope
Neutral,hastle phonr
Negative,wrong personalized algorithm mood parameter specific vin diesel arnold swartzineger listed furious expect speedracer allow verbatim cry loud
Negative,
Positive,
Positive,
Negative,useful deficult
Positive,
Positive,
Negative,leisurely store rented physical copy knew copy advance
Positive,cool
Neutral,human buck human
Positive,
Positive,reduxe reducing
Neutral,alhamdullah
Negative,ninety disappointing pct
Neutral,
Positive,
Neutral,
Negative,mlu babi
Positive,
Positive,
Positive,wonderful
Negative,
Negative,deliberately forcefully 'kids dangerous align ethnic value
Negative,warning heed warning listen norway
Positive,
Positive,enable marathon easier intro credit recap specially damn necessary
Negative,offline look guidance thank
Negative,boot
Positive,recommend
Neutral,loa ale
Negative,straw thoroughly arent
Positive,cool
Negative,dirty banned insult defames banned
Negative,redmi
Negative,uncancel grow childern
Neutral,buena muy
Negative,historic war breach prison
Negative,stupid block popping steamer
Neutral,bat verry verry endha
Negative,save frequently
Neutral,rani gehun tyre hun pahle
Negative,rendering essentially useless
Neutral,interactive pleaseee showsss
Negative,
Negative,attack titan
Negative,extended period
Negative,
Positive,
Negative,
Positive,ngl disappointing spiderman chance wdym sad disappointing
Neutral,dikhata baar hone
Negative,brain horror halloween dumb
Negative,helpline squander text replied
Neutral,dksosks narvaez
Neutral,terbaik nya dengan memudah
Positive,battlefield duty campaign raji aaa bored pubg fire cod multiplayer microtransactions port dream port battlefield duty campaign appreciate
Positive,
Positive,
Neutral,ngtaas bwasan bayd nlng sana sana
Negative,propaganda costly
Negative,spirit stable clearly interruption
Neutral,
Positive,
Neutral,logges
Positive,
Negative,hulu dizzy small biggest foot sitting row obnoxious drumroll mute soundbar drumroll play louder dialogue
Positive,ability
Positive,
Negative,
Neutral,
Negative,truly bath disappointing recommend
Negative,politic party patience
Positive,realize hahaha spite
Neutral,
Positive,dear realese plz realese candidate boycot
Neutral,disalahin konek aja engga pake jalan aman pake jaringan jalan alesannya konek nyuruh cek selular hasilnya disetor buat verifikasi
Positive,happy
Positive,
Neutral,tidak sedikit pilihan cerita bayar mahal cerita banyak tolong buang cerita
Negative,
Negative,unlike
Negative,inoopen naka parin kahit naka kahit
Positive,disrespectful african american
Neutral,
Negative,season's sunny philly ffs
Neutral,hernanderz jessica
Negative,
Negative,redo multi identification desktop earlier youre
Neutral,
Positive,
Neutral,
Neutral,
Positive,
Positive,perfectly
Neutral,observe parent's weekend
Neutral,sinin
Negative,earphone turning cc
Neutral,mant oo
Negative,fraud
Positive,passenger clip
Neutral,bloodline
Positive,vice definitive edition definetive edition waitbthis
Neutral,faarhan shab bhatti
Negative,puedo acceder desde firestick candados digos qr autentificaci correctamente tardan mucho quiere uno entrar disfrutar contenido estresante plataformas tantos obst culos poder acceder propia vez costosas la mensualidades la pongan menos muchos anuncios muy su parte
Positive,
Negative,junior mad
Negative,comedy section horror comedy
Positive,prior actuall kidding
Neutral,presented naming bruh
Negative,
Negative,gadget shucks
Positive,superb
Positive,enjoy opinion enjoy stick satisfied
Positive,
Neutral,
Positive,decent wish effort original bare
Neutral,boolshet thez
Neutral,
Positive,
Positive,
Neutral,gamilcom mbatresjr
Positive,
Negative,noncense bloody
Negative,unless abusive
Neutral,
Negative,
Positive,ultra peaky blinder play visuals freeze odd specific
Positive,
Negative,
Neutral,extortionate struggle gigabit way pip deliver
Neutral,rough subscribtion
Neutral,karna mangta
Neutral,baaaack shrek
Positive,
Positive,
Neutral,
Positive,
Neutral,bearer folder
Negative,cluttered poorly organized filter genre similar criterion recommendation chaotic window passing grade
Neutral,muy buena seria pueda mejor compratir paises
Positive,
Positive,
Positive,
Neutral,sakamoto bruuhh scheduled
Positive,plz solve thank
Neutral,
Negative,unsatisfied
Positive,copied bottom line shameful company
Negative,forced wife
Positive,
Negative,cuba porque
Negative,break disappeared flight whether holiday pain undecipherable
Negative,forced portrait
Neutral,buncha epic
Negative,centre
Negative,puedo firestick millilitre digos qr correctamente tardan mucho quiere entrar disfrutar estresante contenido pongan tantos culos poder acceder propia cada vez costosas la mensualidades plataformas menos beneficios muchos anuncios muy su parte
Negative,nowhere upgraded unsatisfactory advance
Neutral,buffer
Negative,expire boring
Negative,higher
Neutral,
Negative,average strip misleading
Negative,corrupter outrageous forum corrupts licensing item avalaible menu internal detoriation
Neutral,
Negative,
Negative,sync progress play evil tier restrict maintain unity rule leech disgusting
Positive,ption
Positive,xx
Positive,
Negative,baffle sane
Positive,
Neutral,tvshows somemany
Negative,layout mephistophelian navigation useless laid section particularly sensible categorisation fi' 'drama' containing prioritised interest taste googling
Negative,studio yippee angel indoctrinate trusted
Positive,plain breathe buffer
Neutral,
Neutral,falatu
Negative,stupid look hulu guess
Negative,ahh
Positive,
Neutral,
Positive,
Neutral,accha mari jaan
Neutral,fantastic
Neutral,
Positive,play brightens tiring complain
Negative,wth friend membershp holder wth calling filipino report
Positive,
Positive,
Neutral,
Negative,commend outrageous buck
Positive,finishing
Neutral,gvbbh zas az saq z
Neutral,exploitative seeking margin capitalist trash
Positive,
Neutral,pessimo pessima clienti
Positive,inc
Positive,
Neutral,tfccd cvg
Neutral,thankyou
Neutral,bodohpnya maslah jerr kerjer spat menggunakan celcom asik jer dpt macam punya pin
Positive,enjoy
Positive,explain justttt brooo
Negative,
Neutral,gatiyaaa faltuu
Negative,subscriber debuted refused turning regret
Neutral,akane marrie
Neutral,mabuksan lang kaya sakin
Negative,refuse crash
Negative,chaos jurassic
Negative,pot turning shown
Neutral,ta caramba tudo tem pagar pra baixar tem pagar pagar fazer pra tem anuncio enfiado talo
Neutral,fpt compatable
Positive,
Neutral,lafade bakawas hajar ekdam
Negative,
Positive,
Neutral,sirig nitflix
Negative,decent silly axed received
Neutral,
Negative,kahit naka bumabawas parin kahit naka inoopen
Neutral,exceptional
Neutral,
Positive,
Negative,sucka disgusting
Negative,accounted
Positive,
Positive,
Positive,controversary england uk
Negative,nah distasteful
Neutral,
Negative,ability selection crappy
Negative,amazon disgusting dirt derranged enjoyable
Neutral,
Negative,grain vivo pachk showin
Positive,
Negative,dollar
Negative,quarter horrendous preview overview
Positive,injoy
Negative,unbelievable joke town frequently think spend extended length situation restrictive strayed wrong direction disappointing altogether
Positive,
Negative,goody
Negative,regarding
Positive,
Positive,
Positive,layout look layout advice regional leave
Negative,death darn
Positive,treat economy
Neutral,
Positive,naruto shippuden boruto naruto generation
Neutral,naman dala
Positive,drm protect
Negative,pos's action
Negative,poping bcus ti
Neutral,hourormovies saruto naruto boruto generation
Neutral,streamen auf endger nervt au erdem ist das unbedingt zugriff auf meine helligkeit hat chte meine helligkeit selber steuern einstellungen vom ger und
Positive,beautiful
Positive,struggling act fan sent dvd
Negative,temper useless mean
Neutral,atmos atmos
Negative,worse someway consequence
Neutral,bat
Positive,
Negative,disgusting received activated way contact center hotline unused servise directly apply way apply directly deceiving
Negative,yt genuinely yt atp
Negative,useless
Neutral,belief
Positive,
Positive,
Negative,pachk vivo grain showin
Neutral,propgenda
Negative,rip
Positive,firsttttttt
Neutral,shree jai ram
Neutral,hotspot farmhouse
Positive,usual perfectly exist disappointing comfort
Positive,
Neutral,
Negative,arises locating subscriber subscriber location rip
Neutral,vice andreas
Neutral,
Positive,
Neutral,authentication susbcription alrrady
Neutral,udah transaksinya masih dihold kepotong saldo padahal
Positive,function replace original
Neutral,
Neutral,
Neutral,
Positive,cool
Neutral,jurrasic world parkland
Negative,discus
Positive,persistent
Negative,struggling opinion
Neutral,spaeer
Positive,dumb
Neutral,gaya dimag fat chalu
Positive,
Negative,tired carrier
Negative,gross america country texas unless location track store pervert gross
Positive,fault
Negative,oct acceptable accept dose allow throw useless useless useless client protection useless
Negative,care wage whose hike
Neutral,
Positive,soo cool
Neutral,oyuncuya rsen yere denk geliyorsun
Negative,
Positive,enjoy
Positive,noreen probaly
Positive,
Negative,support zionism
Negative,babi mlu
Neutral,dum ek vo ta karke
Neutral,muy buena mejor seria pueda compratir diferentes paises
Neutral,akhir akhir ini mau silent flim apapaun nggak puter kalau mau nonton perangkat kalau ini gmn udah sebulan lewat nggak perbaikan ckck
Neutral,akhir akhir ini mau muter ckck puter kalau mau nonton perangkat kalau ini gmn udah sebulan lewat nggak perbaikan apapaun
Positive,
Negative,
Neutral,ph coi ph tr ti tr mu trong phim tr gi coi phim mu chuy qua ti ph ti kh coi mong mu
Positive,
Neutral,toilet hanako bound kun
Neutral,op sem idioma portugu portugal
Positive,quickly support offline entertainment
Neutral,nouvelle catastrophique
Negative,netflick charged july
Neutral,ph coi ph tr ti tr gi trong phim tr mu coi phim mu chuy qua ti coi ti ph ti kh coi mong mu
Neutral,rediculous qorth
Negative,alright billing amount date billing
Positive,
Positive,
Neutral,mercie god's
Positive,
Positive,
Neutral,vc vvif uu hii
Positive,fox
Negative,damn
Positive,pok moon would've given
Neutral,bhaii faad
Positive,like
Neutral,co mouksiegmail za
Negative,animepulse dollar
Neutral,tomentum tiktok
Positive,marry adss yes
Positive,initially upgraded wish begin cancelling
Negative,restriction obvious allow guy
Negative,bilk nowl subscribing
Neutral,ta passando pagar caramba tudo tem fome baixar tem pagar pra fazer conta tem anuncio enfiado ate talo
Negative,resetting painful
Negative,create stupid
Neutral,
Neutral,
Neutral,jja
Neutral,
Negative,vids unless
Neutral,prince clarkson cleryce animal
Negative,dekho din achcha
Positive,security
Neutral,dispointing kdramas laguages
Positive,
Neutral,qu porquer hicieron
Negative,brainwashing deny proof pudding
Negative,faulty popping answer
Negative,occurred
Positive,
Positive,recommend
Neutral,repulsive
Neutral,alex
Positive,
Negative,pathetic nonsense
Negative,possibility
Negative,crook anyway everyone's vpns prevented value uk criminal
Positive,
Neutral,gumball
Neutral,tirou lenda bote ec ca korra novo
Positive,
Neutral,sierk
Negative,charged dollar known growing
Positive,
Neutral,bagus tp suka tiba ngefrezz sendiri diperbaiki itu lanjut pelemnya abis
Positive,ty
Neutral,christian terrorist
Negative,
Negative,
Positive,
Negative,paris blur query solve clangor pack
Negative,
Neutral,exploitative margin seeking capitalist scum utorrent
Positive,cool appl
Negative,promotion beware clueless foreigner
Neutral,buena muy
Negative,
Neutral,mizerie aplica ie vizionez vreau fiecare apare eroare ce pe ul lor tot nu merge
Negative,minimal acquaintance separately originally
Neutral,airtel 'dalal' airtel airtel airtel
Neutral,ning smark nak gi
Neutral,
Neutral,bosadi kae
Positive,
Positive,
Neutral,amenina reynald
Negative,
Neutral,khan aryan
Negative,
Negative,stay led
Neutral,
Negative,inch subscribtion changable mbit wierd false method intentionally blocked embarrassing subscribtion
Neutral,bodohpnya jer jerr kerjer menggunakan celcom asik maslah dpt macam punya pin
Negative,honey
Positive,
Neutral,loveed
Negative,anuncios dice problema cada vez intento ver algo anuncio reproduce luego queda imagen anuncio fondo reproduce serie principio salir entrar veces hasta funcionaba anuncio tocaba verlo varias veces ahora escalarlo evitarlo truco visto soporte quieren mo cnicos cancelado suscripci deber revisar soporte maleduca
Positive,
Negative,
Negative,boring
Negative,lagging ita preview lagging browsing forget refwiding forward giant burn hole remote kook jitterbug
Positive,entertainment
Neutral,ducking thuef
Negative,yt atp yt stuck genuinely
Positive,
Positive,
Neutral,gaaflhewle tefo
Negative,
Positive,
Negative,matilda quality ngl
Negative,
Positive,
Neutral,mann whach
Neutral,bhaut ghatiya wala bhootni ek pasand milta faltu barbad
Positive,
Neutral,
Negative,witcher ruin
Negative,type household extender
Positive,
Positive,
Neutral,doo scooby mystery
Negative,pedophile disgusting
Positive,
Negative,indication subscriber case nauseate
Neutral,dune dune
Neutral,ahe garib
Negative,road
Negative,hulu haywire
Positive,
Positive,
Negative,quirk horror imagine dub em comment chat
Negative,genuinely infect care dumbest idiotic decision tired heaven forbid brain melting bull food
Positive,introducing font large large small
Neutral,muy pueda seria mejor buena compratir diferentes paises
Neutral,
Neutral,
Positive,
Neutral,safaring lotaf
Negative,witch moviethe
Negative,
Positive,
Negative,
Neutral,shahzadi uzma lahore
Neutral,luv netflixs luv luv
Neutral,bimag dahi
Positive,cousin like ruined masterpiece alice border lit recommend
Positive,
Neutral,payah beda dgn handphone
Negative,
Negative,ante era amigable buen sine restricciones lamentable puedo ver piensa soy hogar ahora
Neutral,nak tunggu episod keluar ibarat ikan berjalan contoh episod episodnyee pukul malam pon belum keluar yee keluar
Neutral,
Positive,college student site
Positive,market exorbitant annually industry deserves desert's treating sponge cattle speech
Negative,solve swear
Positive,stared tall girl dunkin stand joking adorable
Positive,layout older layout look easier mood irrelevant
Positive,
Neutral,
Positive,wonderful
Neutral,celllent ex
Positive,kindly
Negative,germ stutter stopping
Neutral,ta passando fome caramba tudo tem pagar pra tem pagar baixar fazer conta tem pagar tem enfiado ate talo
Neutral,renewal stay
Negative,shareowner share pig
Negative,posess steal
Neutral,
Negative,delay
Negative,seringkali saat tiba hilang disearching harusnya cek padal masih sering
Neutral,inclination childerns towards corrupt effect generation
Negative,ergonomics rejoining month's probably
Positive,
Neutral,
Positive,
Negative,tryna awry tf
Negative,indigo league legitimately alternative way anyway useless
Neutral,muy buena
Negative,historical inaccurate perspective depiction nonsense
Neutral,fashion blip struggle gigabit deliver
Negative,useless incompetant sec disconnected stable incompetemt maintain
Negative,
Neutral,
Negative,store store expedited shipping ticket
Neutral,mintkumar
Neutral,neerly
Positive,applies politics proselytizing quick category entertainment indoctrination fodder
Neutral,ludo partner
Negative,sending demand warning harassment bloody
Positive,
Neutral,lanthanum desaparecen celular
Negative,thief
Negative,find complained
Positive,sport
Neutral,saq arizona z zas
Positive,stalin ww taste thank stalin documentary death stalin thank
Positive,
Positive,
Negative,sue pos's
Neutral,saya tengok sebab saya boleh suka cerita
Neutral,jhatooooo
Negative,horrificly cliffhanger forgive park typed outta expamples
Positive,matching shame
Neutral,freeze
Neutral,ninakawan nako basura gumana
Neutral,
Positive,thank allow aspect ratio finger crossed
Positive,
Neutral,hun gehun tyre ranee
Negative,useless wish disappointing
Positive,
Positive,lego ninjago ended oni trilogy greatest god tryna ninjago edits
Negative,dumb fault realize pirate
Negative,stupid utile trustworthy cancelling
Neutral,film's handy sticking
Neutral,cvg tfccd
Neutral,sangat menarik tontonan mengikut citarasa kita
Neutral,bestest
Negative,disappear lockscreen
Neutral,
Positive,
Negative,ill along
Neutral,ark eternity
Negative,
Negative,rupee karo subscrabtin
Negative,stylus
Positive,
Neutral,tuff boii
Neutral,iska banana mushkil khulwane
Neutral,
Positive,
Positive,explain
Negative,pain flawless restart know god store forbid
Positive,
Negative,reaching terminate emailed disappointing expected
Neutral,gica tiene portada pelicula serie salga espa ol cuando reproduces esta disponible ingl
Negative,gamey hor btw higher
Neutral,gujjar soudan
Neutral,washington ex
Negative,broken bruhh trynna glitchint
Positive,
Positive,
Positive,original contains homosexuality
Neutral,
Positive,recommend
Neutral,
Negative,allow adult create dim gender sound dumb clearly shown
Neutral,gini pdhl akun sm ovo tetapi sbg rb dr ovoku makan pembayaran
Neutral,naruto chosen
Neutral,naman ehhh maka
Negative,
Negative,led stuck
Neutral,mang upar hamara
Negative,disconnected crash
Neutral,ini makin kacau saya sudah berlangganan dari dulu tetiba filim saya ikutin udah pertengahan hilang pencarian padahal kita tau tayangkan emang kasih bata waktu peringatan ketika tidak setiap lagi ini peringatan hitungan hari mau lanjut lagi nonton episodenya udah judul
Neutral,d
Negative,
Neutral,itv adverys
Positive,
Positive,orange exclamation mark pop
Neutral,yr satisfying trustpilot carp google corrupt
Negative,connetion
Positive,
Positive,dam sec aggravating
Negative,struggle struggle log
Negative,completed dealing
Negative,tired prove forth dropped ugh
Negative,unstable desyncs needlessly enforce straight
Positive,
Neutral,menos podr respetar li subt tulos apellido pila nombre
Neutral,
Neutral,homo horse human
Negative,caption original spend compliant insufferable
Neutral,disalahin konek aja engga pake jalan aman pake selular jalan alesannya konek nyuruh cek jaringan hasilnya disetor buat verifikasi
Neutral,
Neutral,
Neutral,
Neutral,
Positive,
Negative,stupid look
Neutral,standred
Negative,stay
Positive,liked
Negative,
Positive,turned joke browsing empty shelf proudly pumping mediocre classic feel
Negative,authorise ahold cancelling
Neutral,deletion reinstall
Neutral,bina kiye hota imbue
Positive,credit
Positive,deny hook leisurely activity thank pray hook number ring pray settled vevery
Positive,mpesa
Negative,
Negative,barbie barbie
Neutral,pasha naved
Neutral,recapitulation intro's
Negative,
Neutral,gujjar
Neutral,parsnal usefull
Negative,
Positive,
Negative,moviez
Negative,failing launch
Positive,
Positive,
Neutral,
Negative,stupid afterwards unexpected occurs
Neutral,mann whach
Neutral,
Neutral,aya deluna
Negative,war
Positive,fact
Positive,tired payment begging
Neutral,
Positive,animal
Negative,hate lock recover
Positive,allow
Neutral,flim deafen
Neutral,disconnected
Positive,heya lol genuinely given raise abt loud hope loud repetitive thatz
Negative,harmful carry
Neutral,kupal rn tang bawas kau nyo
Negative,ahold authorize cancelling
Negative,propaganda 'g' rhyme 'broomer
Neutral,cab someone's
Positive,lovethis
Neutral,
Neutral,manner ut
Negative,saved streamed dumbness useless
